Student_ID,Age,Gender,Department,Study_Hours,Attendance,Assignments,Exam_Score,Result,Grade,Placement,LPA
ST001,18,Male,Computer Science,3,98,12,60,Pass,B,Not Placed,0.0
ST002,20,Male,Computer Science,1,81,11,44,Pass,D,Not Placed,0.0
ST003,19,Male,Computer Science,3,76,9,46,Pass,D,Not Placed,0.0
ST004,19,Female,Computer Science,5,100,10,51,Pass,C,Placed,3.39
ST005,18,Female,Computer Science,5,68,13,54,Pass,C,Placed,3.12
ST006,18,Female,Information Technology,8,60,20,91,Pass,A+,Placed,16.19
ST007,17,Male,Computer Science,7,86,15,68,Pass,B,Not Placed,0.0
ST008,19,Male,Information Technology,4,77,15,65,Pass,B,Not Placed,0.0
ST009,19,Female,Information Technology,4,72,15,64,Pass,B,Not Placed,0.0
ST010,19,Male,Electronics,4,89,10,45,Pass,D,Not Placed,0.0
ST011,17,Male,Computer Science,6,84,16,79,Pass,A,Not Placed,0.0
ST012,20,Male,Electronics,4,76,15,62,Pass,B,Not Placed,0.0
ST013,19,Male,Electronics,6,69,14,62,Pass,B,Placed,4.54
ST014,18,Female,Computer Science,5,91,13,60,Pass,B,Not Placed,0.0
ST015,18,Female,Mechanical,5,89,12,63,Pass,B,Not Placed,0.0
ST016,18,Female,Mechanical,5,81,11,51,Pass,C,Not Placed,0.0
ST017,18,Male,Computer Science,4,100,10,57,Pass,C,Placed,4.93
ST018,18,Male,Computer Science,8,71,15,68,Pass,B,Placed,5.12
ST019,18,Male,Mechanical,7,67,16,71,Pass,A,Placed,6.04
ST020,18,Male,Electronics,3,75,8,37,Fail,F,Not Placed,0.0
ST021,19,Male,Computer Science,7,82,17,77,Pass,A,Not Placed,0.0
ST022,17,Female,Computer Science,5,84,10,46,Pass,D,Not Placed,0.0
ST023,18,Female,Information Technology,8,80,18,83,Pass,A+,Placed,8.74
ST024,18,Male,Information Technology,7,86,18,88,Pass,A+,Not Placed,0.0
ST025,18,Female,Electronics,5,69,9,43,Pass,D,Not Placed,0.0
ST026,19,Female,Information Technology,1,96,7,34,Fail,F,Not Placed,0.0
ST027,18,Male,Information Technology,4,81,14,62,Pass,B,Placed,4.28
ST028,18,Female,Electronics,5,93,11,61,Pass,B,Placed,4.89
ST029,19,Male,Computer Science,6,85,18,79,Pass,A,Placed,6.88
ST030,17,Male,Computer Science,4,87,12,58,Pass,C,Not Placed,0.0
ST031,19,Male,Electronics,3,88,8,42,Pass,D,Not Placed,0.0
ST032,18,Female,Mechanical,7,86,16,72,Pass,A,Not Placed,0.0
ST033,17,Male,Information Technology,10,88,20,94,Pass,A+,Placed,19.27
ST034,20,Male,Information Technology,5,95,13,59,Pass,C,Not Placed,0.0
ST035,20,Male,Computer Science,3,84,11,52,Pass,C,Not Placed,0.0
ST036,19,Male,Information Technology,4,89,10,53,Pass,C,Not Placed,0.0
ST037,18,Female,Information Technology,0,81,5,21,Fail,F,Not Placed,0.0
ST038,17,Female,Computer Science,8,96,15,78,Pass,A,Placed,6.21
ST039,19,Male,Computer Science,3,75,10,48,Pass,D,Not Placed,0.0
ST040,18,Male,Information Technology,5,100,11,58,Pass,C,Not Placed,0.0
ST041,17,Male,Computer Science,4,82,10,52,Pass,C,Not Placed,0.0
ST042,18,Male,Computer Science,5,68,15,62,Pass,B,Not Placed,0.0
ST043,17,Male,Computer Science,6,83,17,79,Pass,A,Placed,7.98
ST044,20,Male,Computer Science,7,75,17,80,Pass,A+,Placed,9.64
ST045,18,Male,Computer Science,3,90,8,40,Pass,D,Not Placed,0.0
ST046,19,Female,Mechanical,0,75,4,17,Fail,F,Not Placed,0.0
ST047,18,Female,Information Technology,3,78,12,54,Pass,C,Not Placed,0.0
ST048,18,Male,Electronics,8,63,18,84,Pass,A+,Placed,8.87
ST049,18,Male,Electronics,8,77,20,90,Pass,A+,Placed,20.96
ST050,18,Female,Information Technology,6,60,15,66,Pass,B,Placed,5.24
ST051,20,Male,Computer Science,6,66,15,63,Pass,B,Placed,4.4
ST052,19,Female,Information Technology,6,90,14,70,Pass,A,Placed,6.19
ST053,20,Female,Information Technology,3,90,10,50,Pass,C,Not Placed,0.0
ST054,19,Male,Electronics,8,86,17,86,Pass,A+,Placed,7.12
ST055,19,Male,Information Technology,5,72,14,62,Pass,B,Placed,4.95
ST056,20,Female,Computer Science,4,82,13,63,Pass,B,Placed,5.09
ST057,17,Male,Computer Science,5,82,11,57,Pass,C,Not Placed,0.0
ST058,18,Male,Information Technology,1,70,4,18,Fail,F,Not Placed,0.0
ST059,17,Female,Electronics,3,97,6,39,Fail,F,Not Placed,0.0
ST060,18,Male,Information Technology,6,91,16,74,Pass,A,Placed,5.68
ST061,18,Male,Information Technology,2,80,6,32,Fail,F,Not Placed,0.0
ST062,18,Female,Mechanical,6,82,10,58,Pass,C,Not Placed,0.0
