Student_ID,Age,Gender,Department,Study_Hours,Attendance,Assignments,Exam_Score,Result,Grade,Placement,LPA
ST001,18.0,Male,COMPUTER SCIENCE,3.0,98.0,12.0,60.0,Pass,B,Not Placed,0.0
ST002,20.0,Male,Computer Science,1.0,81.0,11.0,44.0,Pass,D,Not Placed,0.0
ST003,19.0,,Computer Science,,76.0,9.0,46.0,Pass,D,Not Placed,0.0
ST004,19.0,Female,Computer Science,5.0,100.0,10.0,51.0,Pass,C,placed,3.39
ST005,18.0,Female,Computer Science,5.0,68.0,13.0,54.0,Pass,C,Placed,3.12
ST006,,Female,Information Technology,8.0,,20.0,91.0,Pass,A+,Placed,16.19
ST007,17.0,Male,Computer Science,7.0,86.0,15.0,68.0,Pass,B,not placed,0.0
ST008,19.0,Male,Information Technology,4.0,77.0,15.0,65.0,Pass,B,Not Placed,0.0
ST009,19.0,Female,information technology,4.0,72.0,15.0,64.0,Pass,B,Not Placed,0.0
ST010,,Male,Electronics ,4.0,89.0,10.0,45.0,Pass,D,Not Placed,0.0
ST011,17.0,Male ,Computer Science,6.0,84.0,16.0,79.0,Pass,A,Not Placed,0.0
ST012,20.0,Male, Electronics,4.0,76.0,15.0,62.0,Pass,B,Not Placed,0.0
ST013,19.0,Male,Electronics,6.0,69.0,14.0,62.0,Pass,B,Placed,4.54
ST014,18.0,Female,Computer Science,5.0,91.0,13.0,60.0,Pass,B,Not Placed,0.0
ST015,18.0,Female,Mechanical,5.0,89.0,12.0,63.0,Pass,B,Not Placed,0.0
ST016,18.0,Female,Mechanical,5.0,81.0,11.0,51.0,Pass,C,Not Placed,0.0
ST017,18.0,Male,Computer Science,4.0,100.0,10.0,57.0,Pass,C,Placed,4.93
ST018,18.0,Male,Computer Science,8.0,71.0,15.0,68.0,Pass,B,Placed,5.12
ST019,18.0,Male,Mechanical,7.0,67.0,16.0,71.0,Pass,A,placed,6.04
ST020,18.0,Male,Electronics,3.0,75.0,8.0,37.0,Fail,F,Not Placed ,0.0
ST021,19.0, male ,Computer Science,7.0,82.0,17.0,77.0,Pass,A,Not Placed,0.0
ST022,17.0,Female,Computer Science,5.0,150.0,10.0,46.0,Pass,D,Not Placed,0.0
ST023,18.0,female,Information Technology,8.0,80.0,18.0,83.0,Pass,A+,Placed,8.74
ST024,18.0,Male,INFORMATION TECHNOLOGY,7.0,86.0,18.0,88.0,Pass,A+,NOT PLACED,0.0
ST025,18.0,Female,Electronics,5.0,69.0,9.0,43.0,Pass,D,Not Placed,0.0
ST026,19.0,Female,Information Technology,1.0,96.0,7.0,34.0,Fail,F,Not Placed,0.0
ST027,18.0,Male,Information Technology,4.0,81.0,14.0,62.0,Pass,B,Placed,4.28
ST028,18.0,Female,Electronics,5.0,,11.0,61.0,Pass,B,Placed,4.89
ST029,19.0,Male,Computer Science,6.0,85.0,18.0,79.0,Pass,A,Placed,6.88
ST030,17.0,Male,Computer Science,4.0,87.0,12.0,58.0,Pass,C,Not Placed,0.0
ST031,19.0,Male,,3.0,88.0,8.0,42.0,Pass,D,Not Placed,0.0
ST032,18.0,Female,Mechanical,7.0,86.0,16.0,72.0,Pass,A,Not Placed,0.0
ST033,17.0,Male,Information Technology,10.0,88.0,20.0,94.0,Pass ,A+,Placed,19.27
ST034,20.0,Male,Information Technology ,5.0,95.0,13.0,59.0,Pass,C,Not Placed,0.0
ST035,20.0,Male,Computer Science,3.0,84.0,11.0,52.0,pass,C,Not Placed,0.0
ST036,19.0,Male,Information Technology,4.0,89.0,,,Pass,C,Not Placed,0.0
ST037,18.0,Female,Information Technology,0.0,81.0,5.0,21.0,Fail,F,Not Placed,0.0
ST038,17.0,Female,Computer Science,8.0,96.0,15.0,78.0,Pass,A,Placed,6.21
ST039,19.0,Male,Computer Science,3.0,75.0,10.0,48.0,Pass,D,Not Placed,0.0
ST040,18.0,Male,Information Technology,5.0,100.0,11.0,58.0,Pass,C,Not Placed,0.0
ST041,17.0,Male,Computer Science,4.0,82.0,10.0,52.0,pass,C,Not Placed ,0.0
ST042,18.0,Male ,Computer Science,5.0,68.0,,62.0,Pass,B,Not Placed,0.0
ST043,17.0,Male,Computer Science,6.0,83.0,,79.0,Pass,A,Placed,7.98
ST044,20.0,MALE,Computer Science ,7.0,75.0,17.0,80.0,Pass,A+,Placed,9.64
ST045,18.0, male ,Computer Science,,90.0,8.0,40.0,Pass,D,Not Placed,0.0
ST046,,Female,Mechanical,0.0,75.0,4.0,17.0,Fail,F,Not Placed,0.0
ST047,18.0,Female,Information Technology,3.0,78.0,12.0,54.0,Pass,C,Not Placed,0.0
ST048,18.0,Male,Electronics,8.0,63.0,18.0,84.0,Pass,A+,Placed,8.87
ST049,18.0,Male,Electronics,8.0,77.0,20.0,90.0,Pass,A+,Placed,20.96
ST050,18.0,Female,INFORMATION TECHNOLOGY,6.0,60.0,15.0,66.0,Pass,B,PLACED,5.24
ST051,20.0,Male,Computer Science,6.0,66.0,,63.0,Pass,B,Placed,4.4
ST052,19.0,Female,Information Technology,6.0,90.0,14.0,70.0,Pass,A,Placed,6.19
ST053,20.0,Female,Information Technology,3.0,90.0,10.0,50.0,Pass,C,Not Placed,0.0
ST054,19.0,Male,Electronics,8.0,86.0,17.0,86.0,Pass,A+,Placed,7.12
ST055,19.0,MALE,Information Technology,5.0,72.0,14.0,62.0,Pass,B,Placed,4.95
ST056,20.0,Female,Computer Science,4.0,82.0,13.0,63.0,Pass,B,Placed,5.09
ST057,17.0,Male,Computer Science,5.0,82.0,11.0,57.0,Pass,C,Not Placed,0.0
ST058,,Male,Information Technology,1.0,70.0,4.0,18.0,Fail,F,Not Placed,0.0
ST059,17.0,Female,ELECTRONICS,3.0,97.0,6.0,39.0,Fail,F,Not Placed,0.0
ST060,18.0,Male,Information Technology ,6.0,120.0,16.0,74.0,Pass,A,Placed,5.68
ST061,18.0,Male ,Information Technology,2.0,80.0,6.0,,Fail,F,Not Placed,0.0
ST062,18.0,Female,Mechanical,6.0,82.0,10.0,58.0,Pass,C,Not Placed,0.0
ST063,19.0,Male,Electronics,4.0,84.0,12.0,54.0,Pass,C,Not Placed,0.0
ST064,18.0,Male,Computer Science,4.0,62.0,16.0,60.0,Pass,B,Not Placed,0.0
ST065,18.0,Female,Computer Science,4.0,80.0,11.0,56.0,Pass,C,Not Placed,0.0
ST066,18.0,Male,Computer Science,4.0,75.0,13.0,62.0,Pass,B,Not Placed,0.0
ST067,17.0,Female,Computer Science,6.0,72.0,15.0,70.0,Pass,A,Placed,7.89
ST068,19.0,Female,Computer Science,4.0,79.0,11.0,50.0,Pass,C,Placed,4.82
ST069,17.0,Male,Computer Science,5.0,100.0,15.0,70.0,Pass,A,Placed,7.17
ST070,20.0,Male,Computer Science ,5.0,88.0,12.0,55.0,Pass,C,Not Placed,0.0
ST071,19.0,Male,,6.0,-5.0,15.0,64.0,Pass,B,Placed,5.07
ST072,18.0,,Mechanical,8.0,88.0,18.0,91.0,Pass,A+,Placed,27.27
ST073,17.0,Male,Computer Science,6.0,96.0,13.0,68.0,Pass,B,Not Placed,0.0
ST074,19.0,Female,Information Technology,3.0,91.0,12.0,56.0,Pass,C,not placed,0.0
ST075,19.0,Male,Information Technology,1.0,83.0,6.0,,Fail,F,Not Placed,0.0
ST076,19.0,Male,Mechanical,4.0,76.0,10.0,49.0, Pass,D,Not Placed,0.0
ST077,19.0,Female,Computer Science,6.0,89.0,16.0,80.0,Pass,A+,PLACED,7.39
ST078,17.0,,Information Technology,2.0,86.0,6.0,30.0,fail,F,Not Placed,0.0
ST079,18.0,Female,Mechanical,5.0,91.0,13.0,65.0,Pass,B,Not Placed,0.0
ST080,17.0,Male,Mechanical,6.0,88.0,15.0,72.0,Pass,A,Placed,7.37
ST081,19.0,Male,Mechanical,4.0,92.0,14.0,64.0,Pass,B, Placed,4.25
ST082,19.0,Female,Computer Science,7.0,77.0,17.0,82.0,Pass ,A+,placed,9.38
ST083,18.0,Female,Computer Science,2.0,95.0,8.0,45.0,Pass,D,Not Placed,0.0
ST084,17.0,Female,Electronics,2.0,84.0,10.0,47.0,Pass,D,Not Placed,0.0
ST085,18.0,Female,Mechanical,6.0,100.0,17.0,120.0,Pass,A+,Placed,7.83
ST086,18.0,Female,Information Technology,5.0,75.0,14.0,62.0,Pass,B,Not Placed,0.0
ST010,19.0,Male,Information Technology,6.0,99.0,15.0,78.0,Pass,A,Placed,7.63
ST088,19.0,Male,Computer Science,,84.0,10.0,,Pass,C,Not Placed,0.0
ST089,19.0,Female,electronics,4.0,75.0,9.0,39.0,Fail,F,Not Placed,0.0
ST090,18.0,female,Computer Science,7.0,77.0,16.0,73.0,Pass,A,placed,7.83
ST091,17.0,Female,Computer Science,7.0,79.0,15.0,68.0,Pass,B,Placed,4.3
ST092,19.0,Male ,Information Technology,6.0,86.0,14.0,68.0,Pass ,B,Placed,4.93
ST093,19.0, Male,Information Technology,4.0,87.0,12.0,61.0,Pass,B,Not Placed,0.0
ST010,19.0,Female,Computer Science,6.0,,16.0,71.0,Pass,A,Placed,7.94
ST095,19.0,Male,computer science,4.0,82.0,11.0,54.0,Pass,C,Not Placed,0.0
ST096,18.0,Female,Electronics,-2.0,100.0,9.0,40.0,Pass,D,Not Placed,0.0
ST097,18.0,Female,Computer Science,8.0,99.0,18.0,86.0,Pass,A+,Placed,8.45
ST098,18.0,Male,Information Technology,3.0,86.0,6.0,30.0,Fail,F,Not Placed,0.0
ST099,17.0,Female,Computer Science,9.0,82.0,18.0,90.0,Pass,A+,Placed,27.13
ST100,17.0,Female,,5.0,83.0,13.0,60.0,Pass,B,Not Placed,0.0
ST101,17.0,Male, Information Technology,3.0,88.0,7.0,40.0,Pass,D,Not Placed,0.0
ST102,19.0,Female,Computer Science,5.0,72.0,,65.0,Pass,B,Placed,5.18
