Student_ID,Age,Gender,Department,Study_Hours,Attendance,Assignments,Exam_Score,Result,Grade,Placement,LPA
ST001,18,Female,Electronics,8,76,19,86,Pass,A+,Placed,7.44
ST002,20,Female,Computer Science,5,84,12,53,Pass,C,Placed,3.38
ST003,19,Male,Mechanical,6,90,14,74,Pass,A,Placed,7.3
ST004,19,Female,Electronics,5,75,12,54,Pass,C,Placed,3.45
ST005,18,Male,Computer Science,6,90,16,74,Pass,A,Placed,7.91
ST006,18,Female,Mechanical,4,83,11,57,Pass,C,Placed,4.27
ST007,17,Female,Information Technology,4,92,8,41,Pass,D,Not Placed,0.0
ST008,19,Male,Computer Science,5,80,13,62,Pass,B,Not Placed,0.0
ST009,19,Female,Electronics,5,86,10,48,Pass,D,Placed,3.04
ST010,19,Male,Computer Science,5,82,17,74,Pass,A,Placed,5.65
ST011,17,Male,Mechanical,4,81,9,41,Pass,D,Not Placed,0.0
ST012,20,Male,Mechanical,4,85,11,53,Pass,C,Not Placed,0.0
ST013,19,Male,Mechanical,2,87,9,42,Pass,D,Placed,3.34
ST014,18,Male,Information Technology,2,70,8,36,Fail,F,Not Placed,0.0
ST015,18,Female,Information Technology,4,96,11,58,Pass,C,Not Placed,0.0
ST016,18,Male,Electronics,2,63,9,31,Fail,F,Not Placed,0.0
ST017,18,Female,Computer Science,2,75,11,45,Pass,D,Not Placed,0.0
ST018,18,Male,Information Technology,7,81,18,78,Pass,A,Placed,7.0
ST019,18,Male,Information Technology,1,86,10,48,Pass,D,Not Placed,0.0
ST020,18,Female,Computer Science,6,98,13,66,Pass,B,Placed,5.73
ST021,19,Male,Information Technology,4,63,12,55,Pass,C,Not Placed,0.0
ST022,17,Male,Mechanical,8,77,18,86,Pass,A+,Placed,9.87
ST023,18,Female,Mechanical,5,61,14,57,Pass,C,Not Placed,0.0
ST024,18,Male,Computer Science,4,82,14,64,Pass,B,Placed,4.25
ST025,18,Male,Computer Science,5,85,13,57,Pass,C,Not Placed,0.0
ST026,19,Male,Computer Science,4,98,11,58,Pass,C,Not Placed,0.0
ST027,18,Female,Mechanical,5,83,14,65,Pass,B,Placed,4.19
